This file was created using the 202601 CRSP database.
The 1-month TBill rate data until 202405 are from Ibbotson Associates. Starting from 202406, the 1-month TBill rate is from ICE BofA US 1-Month Treasury Bill Index. 
The annual TBill return is compounded from the monthly T-bill rates from January to December. 

,Mkt-RF,SMB,HML,RF
192607,   2.89,  -2.55,  -2.39,   0.22
192608,   2.64,  -1.14,   3.81,   0.25
192609,   0.38,  -1.36,   0.05,   0.23
192610,  -3.27,  -0.14,   0.82,   0.32
192611,   2.54,  -0.11,  -0.61,   0.31
192612,   2.62,  -0.07,   0.06,   0.28
192701,  -0.05,  -0.32,   4.58,   0.25
192702,   4.17,   0.07,   2.72,   0.26
192703,   0.14,  -1.77,  -2.38,   0.30
192704,   0.47,   0.39,   0.65,   0.25
192705,   5.45,   1.55,   4.80,   0.30
192706,  -2.38,   0.51,  -1.72,   0.26
192707,   7.26,  -3.27,  -1.13,   0.30
192708,   1.99,  -0.77,  -3.85,   0.28
192709,   4.77,  -3.60,  -0.57,   0.21
192710,  -4.29,   2.03,  -4.47,   0.25
192711,   6.52,   2.78,  -0.08,   0.21
192712,   2.09,   0.98,  -1.12,   0.22
192801,  -0.57,   4.20,  -0.71,   0.25
192802,  -1.69,  -2.06,  -0.64,   0.33
192803,   8.79,  -0.38,  -1.11,   0.29
192804,   4.25,   4.14,   3.25,   0.22
192805,   1.52,   2.70,  -3.00,   0.32
192806,  -4.90,  -3.76,   0.28,   0.31
192807,   0.63,  -1.36,  -0.54,   0.32
192808,   6.69,  -2.04,  -2.13,   0.32
192809,   2.87,   2.40,   0.84,   0.27
192810,   1.31,   2.24,  -2.14,   0.41
192811,  11.82,  -1.82,   2.65,   0.38
192812,   0.40,  -0.93,  -0.52,   0.06
192901,   4.66,  -3.35,  -1.22,   0.34
192902,  -0.34,  -0.33,   1.66,   0.36
192903,  -0.85,  -4.91,   1.57,   0.34
192904,   1.47,  -1.12,   0.93,   0.36
192905,  -6.38,  -5.44,  -1.52,   0.44
192906,   9.70,  -2.14,  -2.74,   0.52
192907,   4.48,  -3.87,   2.67,   0.33
192908,   8.14,  -9.75,   0.32,   0.40
192909,  -5.45,   1.34,  -0.79,   0.35
192910, -20.07,  -4.95,   7.54,   0.46
192911, -12.87,  -0.88,   5.05,   0.37
192912,   1.28,  -4.10,  -0.14,   0.37
193001,   5.61,   3.49,  -1.03,   0.14
193002,   2.50,   0.28,   0.28,   0.30
193003,   7.09,   3.39,   0.30,   0.35
193004,  -2.05,  -0.35,  -0.37,   0.21
193005,  -1.66,  -2.10,  -0.74,   0.26
193006, -16.08,  -3.59,   2.40,   0.27
193007,   4.12,  -0.27,  -1.70,   0.20
193008,   0.30,  -2.16,  -0.59,   0.09
193009, -12.81,  -2.41,  -5.09,   0.22
193010,  -8.78,  -0.20,  -1.09,   0.09
193011,  -3.04,   2.46,  -3.81,   0.13
193012,  -7.86,  -4.67,  -5.69,   0.14
193101,   6.25,   3.47,   8.24,   0.15
193102,  10.88,   3.45,   1.63,   0.04
193103,  -6.35,   2.83,  -3.20,   0.13
193104, -10.00,  -4.22,  -4.33,   0.08
193105, -13.29,   5.22,  -6.31,   0.09
193106,  13.93,  -5.01,  11.70,   0.08
193107,  -6.63,   1.49,  -2.20,   0.06
193108,   0.40,  -2.08,  -1.70,   0.03
193109, -28.74,  -1.02,  -7.24,   0.03
193110,   7.99,  -0.28,   3.12,   0.10
193111,  -9.14,   4.40,  -5.19,   0.17
193112, -13.52,  -0.87,  -9.19,   0.12
193201,  -1.57,   4.41,   9.74,   0.23
193202,   5.45,  -2.51,  -1.47,   0.23
193203, -11.30,   2.13,  -2.20,   0.16
193204, -17.94,   0.93,   2.07,   0.11
193205, -20.51,   4.21,  -4.08,   0.06
193206,  -0.77,   0.40,   5.85,   0.02
193207,  33.61,  -4.29,  35.52,   0.02
193208,  37.12,  13.46,  34.20,   0.03
193209,  -2.94,  -2.15,  -7.37,   0.03
193210, -13.15,  -2.59, -10.47,   0.02
193211,  -5.88,   1.83, -13.19,   0.02
193212,   4.42,  -8.30,  -7.54,   0.01
193301,   1.24,   0.73,   6.46,   0.01
193302, -15.29,  -2.63,  -2.92,  -0.03
193303,   3.06,   3.60,   7.09,   0.04
193304,  38.81,   3.02,  20.10,   0.10
193305,  21.43,  35.96,  18.66,   0.04
193306,  13.10,   8.65,  -1.64,   0.02
193307,  -9.64,  -1.06,   3.30,   0.02
193308,  12.04,  -5.16,   3.05,   0.03
193309, -10.65,  -0.58, -11.71,   0.02
193310,  -8.36,  -0.07,  -8.49,   0.01
193311,   9.97,  -6.37,   2.27,   0.02
193312,   1.82,   0.36,  -1.99,   0.02
193401,  12.60,  13.21,  16.20,   0.05
193402,  -2.51,   5.05,   1.86,   0.02
193403,   0.09,   2.45,  -2.59,   0.02
193404,  -1.79,   2.73,  -3.83,   0.01
193405,  -7.26,  -0.31,  -5.90,   0.01
193406,   2.71,  -2.18,  -2.85,   0.01
193407, -10.94,  -7.12, -10.76,   0.01
193408,   5.58,   5.55,   0.17,   0.01
193409,  -0.24,  -1.50,  -1.21,   0.01
193410,  -1.66,   1.23,  -5.00,   0.01
193411,   8.33,   6.60,  -2.14,   0.01
193412,   0.36,   3.28,  -3.16,   0.01
193501,  -3.46,   0.96,  -1.77,   0.01
193502,  -1.96,   0.32,  -7.48,   0.02
193503,  -3.71,  -3.43,  -5.03,   0.01
193504,   9.06,  -1.58,   4.37,   0.01
193505,   3.46,  -3.20,   2.45,   0.01
193506,   5.93,  -2.53,  -1.52,   0.01
193507,   7.54,   2.02,   6.58,   0.01
193508,   2.65,   6.01,   6.29,   0.01
193509,   2.62,   1.55,  -4.12,   0.01
193510,   7.03,   2.67,  -2.33,   0.01
193511,   4.87,   4.65,  12.20,   0.02
193512,   4.55,   0.09,   0.83,   0.01
193601,   6.89,   5.60,  10.95,   0.01
193602,   2.49,   0.84,   4.33,   0.01
193603,   0.96,   0.69,  -1.59,   0.02
193604,  -8.14,  -5.99,  -2.28,   0.02
193605,   5.19,   0.89,   2.55,   0.02
193606,   2.40,  -3.22,  -1.19,   0.03
193607,   6.68,   1.07,   2.53,   0.01
193608,   0.99,   0.61,   3.79,   0.02
193609,   0.97,   3.12,   0.94,   0.01
193610,   7.10,  -2.35,   2.51,   0.02
193611,   3.26,   8.70,  -1.25,   0.01
193612,   0.20,   3.87,   4.14,   0.00
193701,   3.35,   4.49,   2.78,   0.01
193702,   1.08,   0.64,   4.28,   0.02
193703,  -0.26,  -1.25,   7.04,   0.01
193704,  -7.36,  -3.72,  -3.46,   0.03
193705,  -0.83,  -0.69,  -3.46,   0.06
193706,  -4.23,  -3.91,  -3.12,   0.03
193707,   8.91,   0.88,   0.81,   0.03
193708,  -4.88,   0.45,  -2.25,   0.02
193709, -13.62,  -7.00,  -4.55,   0.04
193710,  -9.59,   0.45,  -1.52,   0.02
193711,  -8.33,  -3.56,   0.22,   0.02
193712,  -4.29,  -7.92,  -0.47,   0.00
193801,   0.48,   4.84,  -1.53,   0.00
193802,   5.85,   0.41,  -1.97,   0.00
193803, -23.91,  -4.30,  -3.63,  -0.01
193804,  14.48,   6.40,   0.45,   0.01
193805,  -3.86,  -2.47,  -0.24,   0.00
193806,  23.89,   4.22,   0.37,   0.00
193807,   7.33,   6.69,   2.28,  -0.01
193808,  -2.68,  -2.48,  -4.78,   0.00
193809,   0.83,  -2.68,  -1.70,   0.02
193810,   7.80,   5.81,   5.04,   0.01
193811,  -1.74,  -2.55,  -1.20,  -0.06
193812,   4.16,  -1.81,   0.54,   0.00
193901,  -5.97,  -1.54,  -3.92,  -0.01
193902,   3.51,   0.61,   2.92,   0.01
193903, -12.03,  -4.75,  -8.27,  -0.01
193904,  -0.18,   1.67,  -0.30,   0.00
193905,   6.81,   2.80,   0.47,   0.01
193906,  -5.33,  -1.09,  -5.28,   0.01
193907,  10.22,   4.18,   0.13,   0.00
193908,  -6.68,  -4.59,  -2.47,  -0.01
193909,  16.89,  20.57,  21.76,   0.01
193910,  -0.53,  -0.08,  -4.79,   0.00
193911,  -3.65,  -5.12,  -6.30,   0.00
193912,   2.93,   0.92,  -4.19,   0.00
194001,  -2.41,   0.23,  -0.77,   0.00
194002,   1.44,   2.52,  -0.36,   0.00
194003,   2.05,   1.24,  -1.27,   0.00
194004,   0.22,   3.99,  -0.22,   0.00
194005, -22.00,  -6.62,  -3.72,  -0.02
